package	version	path	kind	mode	bytes	sha256	linkTarget	finalDisposition	collisionPolicy
ncurses	6.6-2	usr/share/terminfo/70/pe7000c	data	644	502	c6d19d40f42ed0c005c8e1a46770e6c7023b160e46ad5601decc631d299795d9		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pe7000m	data	644	484	7d418ef11700cf5616afd4caf77616b9d1626a2d075247b94203b8f5c6ad77dc		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pilot	data	644	454	e24c2ec9d65ab7c17d65e8106ed65aca9ab40300ad0061355590a56276982926		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pmcons	data	644	368	d855baae11464067629b628abc9969242d8958650f6d9fdad53d88d4e1b48392		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pmconsole	data	644	368	d855baae11464067629b628abc9969242d8958650f6d9fdad53d88d4e1b48392		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/printer	data	644	354	5b954a2068feb840f2a56474deaff50a5c1c7b42b76d5f78a93f9a4d3966f641		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism12	data	644	1149	39ee96a05890edf7c95cf17d5a5a466335e10e8774c55d2f10fdee4a1aa44e19		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism12-m	data	644	666	1284842ef226fc27d0a8614f8ee0b8c658ff129cee1f536c0dbbf3e211e14c2b		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism12-m-w	data	644	694	f232d14d6146890caa90759f2aba06fa82c164435a4b920275172fc85f820e2b		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism12-w	data	644	1140	bd307bb71a65c91964f607c16dbb5dd6bec3c1021af40d131c4fff0d21ccb114		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism14	data	644	1149	c53f7b78e43b0b246426a0f26e960ac105a80ccc9be3e3279766b0041f2e130d		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism14-m	data	644	666	23737c9a205bbbbbc85a62c80254d4ec8cb8eb32a64e986dcf820f4ad768b325		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism14-m-w	data	644	694	97535297b9704349ae55bf36441bbe0c5b80684cd239cfa42e1c708eabeeb097		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism14-w	data	644	1140	6ee79958d432a872619163990ee6910b53d49327444cef231e7746ac7b2b7d53		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism2	data	644	552	31e99ec2d7580af332a37c64d2d373457f17f593627bf7c41368a96afde2e74f		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism4	data	644	743	6167139fd4c2d8625340b4a827a34db12cc9d0449ae45c70187fdd7445db8ade		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism5	data	644	743	c348160ac726d6bb6a723d5a58eb5cabd462298091582ef4d06ea29fd7740ac8		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism7	data	644	553	d497651d116ac3449e8970687e4c5a4197315778d213e7ac701eb84e73de174f		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism8	data	644	582	1c0b7f48758dfd628ab01d198de7359655758465b4019bcbe77cd294d207baf5		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism8-w	data	644	614	edae34a978db3b2242adee4100ceaa5d7912a7f437e5e257da83535aef3e6374		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism8gl	data	644	754	3b451294c4ad8febc2fe5b5194f78b8d137b0e9a26932b9309621b50c8f728e9		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism9	data	644	1145	f5803baffa6cb3270c1a5f1451f9ed2156c3b2f49f2d469dda262a2d48caa710		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism9-8	data	644	652	88bcea1dec4da1516465faa17334139187fccfaa7424ac348b3a65a93640a226		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism9-8-w	data	644	694	48a81d8e94b5d7fa313a690e6fea6908d3b376eb305642bb97aeea2e2594bd78		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/prism9-w	data	644	1136	f5ca03cf8e26f1fe39b116d20324f7476ef6c6dd6d1df87be4ed2fbc6b19cb61		pending-final-package	exclusive-owner
