path	sourcePackage	sourceVersion	ownershipCommit
usr/bin/expand.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/expr.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/factor.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/false.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/file.exe	file	5.48-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/find.exe	findutils	4.10.0-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/fmt.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/fold.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/funzip.exe	unzip	6.0-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gawk-5.4.0.exe	gawk	5.4.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gawk.exe	gawk	5.4.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gdbm_dump.exe	gdbm	1.26-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gdbm_load.exe	gdbm	1.26-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gdbmtool.exe	gdbm	1.26-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gencat.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/getconf.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/getfacl.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/getopt.exe	util-linux	2.40.2-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gkill.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gmondump.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpg-agent.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpg-card.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpg-connect-agent.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpg-error.exe	libgpg-error	1.61-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpg-mail-tube.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpg-wks-client.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpg-wks-server.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpg.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpgconf.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpgparsemail.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/gpgscm.exe	gnupg	2.4.9-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
